MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,2,2,2,2,3,4,4,6,4,4,6,3,4,4,5,6,6,5,5,5,5,5,2.2,4.4,4.67,5.17,1,EduYes,2.559913787734667,6.553158600634051,False,2.2,4.4,4.666666666666667,5.166666666666667,-0.7481725033116644,0.30820506149253013,0.7112888652116122,1.0900497992550215
1,4,4,4,3,4,5,5,5,5,5,3,2,2,4,3,4,5,4,3,3,5,3,3.8,5.0,3.0,3.83,1,EduYes,3.3511868750831146,11.230453471729332,False,3.8,5.0,3.0,3.8333333333333335,0.6740462603303246,1.0473748276144457,-1.3987189844203178,-0.1475995214638196
1,2,2,5,2,3,5,5,5,5,5,6,5,4,6,5,5,6,2,5,2,6,5,2.8,5.0,5.17,4.33,1,EduYes,4.778704270554842,22.836014505419083,False,2.8,5.0,5.166666666666667,4.333333333333333,-0.21484046694591874,1.0473748276144457,1.344291220101191,0.3165189738057454
1,2,5,2,2,5,4,4,5,2,4,5,2,5,2,3,5,5,2,2,2,2,2,3.2,3.8,3.67,2.5,1,EduYes,6.321794575785871,39.96508665843566,False,3.2,3.8,3.6666666666666665,2.5,0.1407142239645789,-0.4309647046293865,-0.5547158445675462,-1.385248842182661
2,3,4,2,2,2,5,5,5,2,2,4,1,5,5,5,5,5,6,4,6,6,5,2.6,3.8,4.17,5.33,0,EduNo,5.15183956494737,26.541450902957102,False,2.6,3.8,4.166666666666667,5.333333333333333,-0.39261781240116717,-0.4309647046293865,0.07828651032203328,1.2447559643448762
1,3,1,2,3,3,5,5,5,6,4,4,3,1,6,4,6,6,4,4,3,5,5,2.4,5.0,4.0,4.5,1,EduYes,4.681255575662517,21.914153764671404,False,2.4,5.0,4.0,4.5,-0.570395157856416,1.0473748276144457,-0.13271427464116006,0.4712251388956008
2,3,3,2,2,2,2,2,5,5,2,6,6,5,5,5,5,4,6,5,4,5,5,2.4,3.2,5.33,4.83,0,EduNo,4.531904228551289,20.538155936761054,False,2.4,3.2,5.333333333333333,4.833333333333333,-0.570395157856416,-1.1701344707513022,1.5552920050643833,0.7806374690753108
1,3,2,3,2,4,4,3,4,3,3,5,1,5,5,4,5,6,6,5,3,6,4,2.8,3.4,4.17,5.0,1,EduYes,3.4859114828127025,12.151578866005455,False,2.8,3.4,4.166666666666667,5.0,-0.21484046694591874,-0.9237445487106637,0.07828651032203328,0.9353436341651662
1,4,3,3,3,5,5,5,5,5,5,5,2,5,5,5,5,5,3,3,2,4,3,3.6,5.0,4.5,3.33,1,EduYes,2.542549040346831,6.464555622568591,False,3.6,5.0,4.5,3.3333333333333335,0.49626891487507613,1.0473748276144457,0.5002880802484189,-0.611718016733385
1,4,2,2,2,2,5,4,5,5,5,5,2,2,5,5,5,5,2,5,5,5,5,2.4,4.8,4.0,4.5,1,EduYes,4.102409233267576,16.829761517199056,False,2.4,4.8,4.0,4.5,-0.570395157856416,0.8009849055738067,-0.13271427464116006,0.4712251388956008
1,1,1,4,1,4,6,5,4,4,4,5,6,6,5,5,6,6,1,1,4,4,3,2.2,4.6,5.5,3.17,1,EduYes,6.150313292225431,37.82635359252482,False,2.2,4.6,5.5,3.1666666666666665,-0.7481725033116644,0.5545949835331679,1.7662927900275767,-0.7664241818232405
1,2,2,2,2,2,4,3,5,4,4,5,4,2,4,4,4,5,2,2,3,4,4,2.0,4.0,3.83,3.33,1,EduYes,3.3117415371828773,10.967632009102408,False,2.0,4.0,3.8333333333333335,3.3333333333333335,-0.9259498487669132,-0.18457478258874763,-0.34371505960435283,-0.611718016733385
2,6,2,4,2,4,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,3.6,3.8,4.0,5.0,0,EduNo,4.331955451001904,18.765838029465108,False,3.6,3.8,4.0,5.0,0.49626891487507613,-0.4309647046293865,-0.13271427464116006,0.9353436341651662
1,2,2,2,2,2,5,5,5,2,5,6,1,4,5,5,5,5,5,2,2,5,5,2.0,4.4,4.33,4.0,1,EduYes,4.796604303861435,23.007412847822042,False,2.0,4.4,4.333333333333333,4.0,-0.9259498487669132,0.30820506149253013,0.2892872952852255,0.007106643626035387
2,4,4,4,4,4,6,5,5,5,5,6,6,6,5,5,5,6,3,4,2,2,5,4.0,5.2,5.5,3.67,0,EduNo,4.157876748524765,17.28793905592287,False,4.0,5.2,5.5,3.6666666666666665,0.8518236057855734,1.2937647496550846,1.7662927900275767,-0.302305686553675
1,2,3,2,2,5,6,6,6,6,6,6,6,2,5,5,5,5,6,2,5,5,5,2.8,6.0,4.83,4.67,1,EduYes,5.099499553499677,26.004895696143404,False,2.8,6.0,4.833333333333333,4.666666666666667,-0.21484046694591874,2.279324437817639,0.9222896501748044,0.6259313039854563
1,2,2,2,4,4,4,2,5,5,4,4,2,2,4,5,6,5,5,5,5,2,3,2.8,4.0,3.83,4.17,1,EduYes,5.329263343185938,28.401047781025365,False,2.8,4.0,3.8333333333333335,4.166666666666667,-0.21484046694591874,-0.18457478258874763,-0.34371505960435283,0.1618128087158908
1,3,2,2,2,2,4,3,4,4,4,4,2,3,3,4,4,5,4,3,3,4,4,2.2,3.8,3.33,3.83,1,EduYes,2.298149610117529,5.28149163048335,False,2.2,3.8,3.3333333333333335,3.8333333333333335,-0.7481725033116644,-0.4309647046293865,-0.9767174144939317,-0.1475995214638196
1,3,1,2,1,1,2,4,4,4,4,4,4,2,5,3,5,5,6,5,5,5,5,1.6,3.6,3.83,5.17,1,EduYes,3.920577585864726,15.370928606784881,False,1.6,3.6,3.8333333333333335,5.166666666666667,-1.2815045396774105,-0.6773546266700249,-0.34371505960435283,1.0900497992550215
1,5,5,5,5,5,3,5,3,5,3,2,5,1,2,5,5,2,2,2,2,2,2,5.0,3.8,3.33,2.0,1,EduYes,4.994831394534747,24.94834065982992,False,5.0,3.8,3.3333333333333335,2.0,1.7407103330618168,-0.4309647046293865,-0.9767174144939317,-1.8493673374522264
2,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,6,5,2,6,5,4.8,5.0,4.83,4.67,0,EduNo,4.145383372835075,17.184203307777498,False,4.8,5.0,4.833333333333333,4.666666666666667,1.5629329876065678,1.0473748276144457,0.9222896501748044,0.6259313039854563
