MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,2,2,2,2,3,4,4,6,4,4,6,3,4,4,5,6,6,5,5,5,5,5,2.2,4.4,4.67,5.17,1,EduYes,2.559913787734667,6.553158600634051,False,2.2,4.4,4.666666666666667,5.166666666666667,-0.7461202187404299,0.3346219487035378,0.7036428844837177,1.0995716061101226
1,4,4,4,3,4,5,5,5,5,5,3,2,2,4,3,4,5,4,3,3,5,3,3.8,5.0,3.0,3.83,1,EduYes,3.3511868750831146,11.230453471729332,False,3.8,5.0,3.0,3.8333333333333335,0.6766853575678513,1.035887085220999,-1.369654010261443,-0.1347384716761566
1,2,2,5,2,3,5,5,5,5,5,6,5,4,6,5,5,6,2,5,2,6,5,2.8,5.0,5.17,4.33,1,EduYes,4.778704270554842,22.836014505419083,False,2.8,5.0,5.166666666666667,4.333333333333333,-0.21256812762482463,1.035887085220999,1.3256319529072658,0.32812780749369763
1,2,5,2,2,5,4,4,5,2,4,5,2,5,2,3,5,5,2,2,2,2,2,3.2,3.8,3.67,2.5,1,EduYes,6.321794575785871,39.96508665843566,False,3.2,3.8,3.6666666666666665,2.5,0.14313326645224606,-0.3666431878139243,-0.540335252363379,-1.3690485494624358
2,3,4,2,2,2,5,5,5,2,2,4,1,5,5,5,5,5,6,4,6,6,5,2.6,3.8,4.17,5.33,0,EduNo,5.15183956494737,26.541450902957102,False,2.6,3.8,4.166666666666667,5.333333333333333,-0.3904188246633596,-0.3666431878139243,0.08165381606016961,1.2538603658334069
1,3,1,2,3,3,5,5,5,6,4,4,3,1,6,4,6,6,4,4,3,5,5,2.4,5.0,4.0,4.5,1,EduYes,4.681255575662517,21.914153764671404,False,2.4,5.0,4.0,4.5,-0.5682695217018949,1.035887085220999,-0.12567587341434677,0.4824165672169828
2,3,3,2,2,2,2,2,5,5,2,6,6,5,5,5,5,4,6,5,4,5,5,2.4,3.2,5.33,4.83,0,EduNo,4.531904228551289,20.538155936761054,False,2.4,3.2,5.333333333333333,4.833333333333333,-0.5682695217018949,-1.0679083243313854,1.5329616423817811,0.7909940866635523
1,3,2,3,2,4,4,3,4,3,3,5,1,5,5,4,5,6,6,5,3,6,4,2.8,3.4,4.17,5.0,1,EduYes,3.4859114828127025,12.151578866005455,False,2.8,3.4,4.166666666666667,5.0,-0.21256812762482463,-0.8341532788255652,0.08165381606016961,0.9452828463868375
1,4,3,3,3,5,5,5,5,5,5,5,2,5,5,5,5,5,3,3,2,4,3,3.6,5.0,4.5,3.33,1,EduYes,2.542549040346831,6.464555622568591,False,3.6,5.0,4.5,3.3333333333333335,0.49883466052931635,1.035887085220999,0.4963131950092013,-0.5976047508460113
1,4,2,2,2,2,5,4,5,5,5,5,2,2,5,5,5,5,2,5,5,5,5,2.4,4.8,4.0,4.5,1,EduYes,4.102409233267576,16.829761517199056,False,2.4,4.8,4.0,4.5,-0.5682695217018949,0.8021320397151782,-0.12567587341434677,0.4824165672169828
